Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6
Financial Reporting,SEC oversight of foreign firms cross-listed in the U.S.: evidence from comment letters,Jihun Bae,,,,,,Bayes Business School,,,,,
Financial Reporting,The effect of restricting SEC administrative proceedings on firm value,Cai Chen,Svenja Dube,Hye Seung (Grace) Lee,,,,The Chinese University of Hong Kong,Baruch College,Fordham University,,,
Financial Reporting,The transparency trap: input visibility and the suppression of corporate innovation,Tao Ma,Guochang Zhang,,,,,Texas Tech University,,,,,
Financial Reporting,The bright side of analysts for innovation: evidence from social connection,Yi Wu,Jinghan Lu,Yenjung Tseng,Yangxin Yu,,,Zhejiang University,Zhejiang University,University of York,,,
Financial Reporting,Who to listen to and when? Management and analyst forecasts,Ron Shalev,Daniel Cohen,Yiwen Li,,,,University of Toronto,Vanderbilt University,,,,
Financial Reporting,The impact of mandatory iXBRL adoption on analyst behaviour,Fatema Alyafei,Yu-Lin Hsu,Fengzhi Zhu,,,,Qatar University,University of Glasgow,,,,
Financial Reporting,CEO-employee political alignment and financial reporting outcomes,Sang Woo Sohn,,,,,,,,,,,
Financial Reporting,Local creative culture and corporate overinvestment,Solomon Opare,Arfian Zudana,Mabel D Costa,,,,Northeastern University,Unitec Institute of Technology,,,,
Financial Reporting,"Lobbying, public contracts, and accounting complexity: implications for transparency and regulation",Larelle (Ellie) Chapple,Sohanur Rahman,Mumtaheena Anwar,Md. Nurul Kabir,,,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,,,
Financial Reporting,Mandatory pay disclosures in job postings,Edith Leung,Jeroen Koenraadt,Nico Lehmann,Stephanie van der Veen,,,Tilburg University,London School of Economics,Erasmus University Rotterdam,,,
Financial Reporting,My word is my bond: the use of management forecasts in setting covenant thresholds,Zhaoyang Gu,Chunmei Zhu,,,,,The Chinese University of Hong Kong,,,,,
Financial Reporting,Theme washing in the ETF space,Gerald Ward,Xiaoxue He,George Wang,,,,Lancaster University,Lancaster University,,,,
Financial Reporting,Financial statement readability and internal control,David Harris,Ying Zhang,,,,,Syracuse University,,,,,
Financial Reporting,Dynamics of CEOs’ product market orientation: evidence from earnings conference calls,Pratik Goel,Oveis Madadian,,,,,IESEG School of Management,,,,,
Financial Reporting,Non-financial disclosure mandates and private lending,Zhehao Jia,,,,,,,,,,,
Financial Reporting,The biodiversity impact of corporate divestitures,Simona Rusanescu,Ole-Kristian Hope,Vlad-Andrei Porumb,Dushyantkumar Vyas,,,University of Groningen,University of Toronto,University of Manchester,,,
Financial Reporting,From cheap talk to costly signals: accounting measurement and the use of sustainability-linked loans,Mingyang Liu,,,,,,,,,,,
Financial Reporting,Unintended consequences of market deregulation: a perspective from corporate leverage manipulation,Fei Yan,Zeyu Sun,Baolei Qi,,,,Xi’an Jiaotong University,Beijing Normal University,,,,
Financial Reporting,Accrue or not? The effect of ambiguity on loss contingency recognition,Alisa Brink,Wenhao Zhu,,,,,Virginia Commonwealth University,,,,,
Financial Reporting,Generative AI “persona” vs. human jurors: evidence from a juror-based experiment on audit failure of AI-assisted audit,Satoshi Taguchi,,,,,,,,,,,
Financial Reporting,The value relevance of insurance accounting: evidence from the transition to IFRS 9 and IFRS 17,Christian Fieberg,Stefan Veith,Baohua Xin,,,,Bremen University of Applied Sciences,Bremen University of Applied Sciences,,,,
Financial Reporting,Discretionary provisions and bank earnings management around the world: a novel insight from linguistic relativity hypothesis,Daniel Taylor,Francis Osei-Tutu,Eunice Yaa Cudjoe,,,,IESEG School of Management,Paris School of Business,,,,
Financial Reporting,The relationship between a firm’s financial constraints and its goodwill impairment,Daniel Gyung Paik,Brandon Lee,Taewoo Kim,Sungsoo Kim,,,University of Richmond,Indiana University,"California State University, San Bernardino",,,
Financial Reporting,Business strategy and the information content of classification shifting,Surya Janakiraman,Chih-Chen Lee,Krishnamurthy Surysekar,Tian Tian,,,University of Texas at Dallas,"Department of Accountancy, Northern Illinois University",Florida International University,,,
Financial Reporting,Does litigation risk deter classification shifting? Evidence from a quasi-natural experiment,Surjit Tinaikar,,,,,,,,,,,
Financial Reporting,Implementing recurring and nonrecurring disaggregation to enhance disclosure in the statement of cash flows,Alberto Halfeld,Tami Dinh,,,,,University of St.Gallen,,,,,
Financial Reporting,The impact of asset revaluation on corporate investment during crises,Noemi Pecoraro,Antonio de Vito,Marco Maria Mattei,,,,University of Bologna,University of Bologna,,,,
Financial Reporting,Regulatory spillover and preemptive disclosure to mitigate artificial intelligence risk: evidence from the EU AI act,Feng Chen,Xinlu Wang,Liang Xu,Jianguang Zeng,,,University of Toronto,Jinan University,SKEMA Business School,,,
Financial Reporting,Disclosure intensity effects of disclosure regulations: European evidence,Simone Euler,Joachim Gassen,Jonas Materna,,,,Humboldt University of Berlin,Humboldt University of Berlin,,,,
Financial Reporting,Analyzing the strategic classification of negative disclosures in Form 8-K filings,Won No,Arion Cheong,Shaoyu Liu,,,,Rutgers University,Stevens Institute of Technology,,,,
Financial Reporting,It’s the human touch! Performance of large language models in highly-specific domains,Miles Gietzmann,Francesco Grossetti,Craig Lewis,,,,Bocconi University,Bocconi University,,,,
Financial Reporting,Lost in aggregation: measuring sentiment at document and topic levels,Richard Crowley,Franco Wong,,,,,Singapore Management University,,,,,
Financial Reporting,When numbers speak: the real effects of numerical operational disclosure on corporate investment,Jing Wang,Cassie (Qiurui) Mou,Lulu Di,,,,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,,,,
Financial Reporting,Suppliers’ redaction of customer identities when their customers provide more public disclosure: a customer poaching perspective,Jia Guo,Jeffrey Ng,Chunyan Wei,Janus Jian Zhang,,,The Hong Kong Polytechnic University,The University of Hong Kong,Shanghai University of Finance and Economics,,,
Financial Reporting,Do changes in U.S. GAAP divert public firms’ resources and influence who wins the innovation race?,Luminita Enache,,,,,,,,,,,
Financial Reporting,The unintended consequences of “bright-line” thresholds in CSR reporting mandates,Jordi Louis Geuken,Paula Stanka,,,,,Ruhr University Bochum,,,,,
Financial Reporting,"Accounting human capital, artificial intelligence, and SEC compliance",Heflin Frank,Joanna Golden,Xiaotao Liu,Jasmine Wang,,,University of Georgia,University of Memphis,Northeastern University,,,
Financial Reporting,Visualizing social accountability with pictures in annual reports,Jana Neuland,Michael Grüning,,,,,Ilmenau University of Technology,,,,,
Financial Reporting,Beyond numbers: the informativeness of credit risk disclosures and their implications for bank lending,Romain Oberson,Minyue Dong,Huajuan Yuan,,,,IESEG School of Management,University of St.Gallen,,,,
Financial Reporting,"Two levers, one goal: the complementary role of commission and fees income and loan loss provisions in bank earnings management",Eunice Yaa Cudjoe,Daniel Taylor,Isaac Awuye,,,,EDHEC Business School,IESEG School of Management,,,,
Financial Reporting,Real earnings management via lending in the current expected credit loss (CECL) era,Ali Awad,,,,,,,,,,,
Financial Reporting,Private firm disclosures and public firms’ debt choice,Fengqin Chen,Jeffrey Pittman,Walid Saffar,,,,The Hong Kong Polytechnic University,Memorial University of Newfoundland,,,,
Financial Reporting,New revenue recognition and non-GAAP revenue disclosures: evidence from ASC 606,Bok Baik,Songyi Han,David Park,Sang Woo Sohn,,,Seoul National University,BI Norwegian Business School,Seoul National University,,,
Financial Reporting,Bridging the gap or widening the divide? An investigation into private company accounting comparability and the role of FRS 102,Stephanie Tiller,Mark Clatworthy,Mariano Scapin,,,,University of Bristol,University of Bristol,,,,
Financial Reporting,"Unlocking environmental, social, and governance risk after IPO share lockups",Grace Hao,Devendra Kale,Sriram Villupuram,,,,University of Texas at Arlington,University of Rhode Island,,,,
Financial Reporting,Spillover of non-financial disclosure mandates on private firms’ investment efficiency,Nan Deng,Xi Chen,Giovanna Michelon,,,,University of Bristol,University of Bristol,,,,
Financial Reporting,The effect of mandatory carbon disclosures on cross-border innovation collaboration,Xi Chen,Xiaoli (Shaolee) Tian,Yuxiang Zheng,Zhe (Michael) Guo,,,University of Bristol,"McDonough School of Business, Georgetown University",Rutgers University,,,
Financial Reporting,Excess volatility and fair value measurement,Sarah Kroechert,Igor Goncharov,,,,,University of Cambridge,,,,,
Financial Reporting,Real effects of accounting reporting complexity,Benedikt Plate,Johannes Voshaar,Jochen Zimmermann,,,,University of Bremen,University of Bremen,University of Bremen,,,
Financial Reporting,Firm behavior and stakeholder responses to spring-loaded equity awards,Kevin Munch,Lisa Hinson,,,,,Kent State University,University of Florida,,,,
Financial Reporting,Discrepancies between disclosure and practice: data sharing in the banking industry,Arion Cheong,David Wang,Yen-Yao Wang,Ju-Chun Yen,,,Stevens Institute of Technology,DePaul University,Auburn University,"National Central University, Taiwan",,
Financial Reporting,Customer-facing technologies and banks’ macroeconomic information production: evidence from loan loss provisions,Wilbur Chen,Sehwa Kim,Jung Koo Kang,Ling Lin,,,The Hong Kong University of Science and Technology,Columbia University,Harvard Business School,Harvard Business School,,
Financial Reporting,Regulatory and voluntary reporting interactions under Solvency II,Madeline Kalista,Zoltán Novotny-Farkas,Lukas Obernauer,,,,Vienna University of Economics and Business,Vienna University of Economics and Business,Vienna University of Economics and Business,,,
Financial Reporting,Firm political alignment: measurement and effects,Jenny Li Zhang,Ping Jiang,Jing Li,Minjia Li,,,The University of British Columbia,University of International Business and Economics,Simon Fraser University,University of Alberta,,
Financial Reporting,Government procurement and tax uncertainty,Wenxia Ge,Lizhi Luo,Tiemei (Sarah) Li,,,,University of Ottawa,University of Ottawa,University of Ottawa,,,
Financial Reporting,Political costs and windfall profits in a politically sensitive industry,Jørn Anders Bjørhovde,,,,,,The Arctic University of Norway,,,,,
Financial Reporting,"Rollover risk, earnings informativeness, and credit disclosure in capital structure decisions",Li-Yu Chen,,,,,,National Sun Yat-sen University,,,,,
Financial Reporting,Ownership structure and firm performance under adverse conditions with prospect theory perspective: evidence from South Korea,Na Kang,Hyunpyo Kim,,,,,Hankyong National University,,,,,
Financial Reporting,Valuation convexity and the pricing of earnings news: evidence on delayed information integration,Omri Even-Tov,Qinglu Jin,Yuchao Jin,Guochang Zhang,,,University of California Berkeley,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,,,
Financial Reporting,The policy to expand the number of voluntary adopters to internalize threats,Ogata Kensuke,,,,,,,,,,,
Financial Reporting,Artificial intelligence and IFRS application: a proposal for a competency-based expert assessment method,Massimo Albanese,Alberto Quagli,Paola Ramassa,,,,University of Genoa,University of Genoa,,,,
Financial Reporting,The travel of ideas in standard setting,Julia Morley,Michael Power,,,,,University College London,,,,,
Financial Reporting,Determinants of short-term debt in private firms: a return to fundamentals,Massimiliano Bonacchi,Fabio Ciaponi,Luca Menicacci,,,,Free University of Bozen,Università dell’Aquila,,,,
Financial Reporting,Do private lenders learn from disclosed loan contracts?,Xingyu Huang,,,,,,,,,,,
Financial Reporting,Out-of-court public debt restructuring and debtholder-focused investor communication,Dushyantkumar Maheshkumar Vyas,Stacey Choy,Christin Liu,,,,University of Toronto,University of Illinois Urbana-Champaign,,,,
Financial Reporting,Managerial learning from public acknowledgment of failure via financial reporting: evidence from goodwill impairments,John Campbell,Sandip Dhole,Satish Sahoo,Zhixi Shi,,,University of Georgia,Monash University,City University of Hong Kong,,,
Financial Reporting,When shorts go public: mandatory short position disclosure and management guidance,Jongha Kim,Ashiq Ali,Jedson Pinto,Edward Sul,,,University of Texas at Dallas,University of Texas at Dallas,University of Texas at Dallas,,,
Financial Reporting,Patent disclosures and capital market feedback: evidence from AIPA,Tim Martens,Yiyang Wu,Wanli Zhao,,,,Bocconi University,Bocconi University,,,,
Financial Reporting,Disclosing barriers: the deterrence effects of voluntary capital expenditure disclosures,Caleb Rawson,Jesse Glaze,,,,,University of Arkansas,,,,,
Financial Reporting,When dissimilar items get grouped together: real effects of aggregating government subsidies with operating income,Feng Chen,Wei Shi,Chao Yan,Ziyi Zhang,,,University of Toronto,Deakin University,Ghent University,,,
Financial Reporting,The effects of eliminating the distinction between operating and finance leases on analysts’ processing costs and price responsiveness,Fabio da Costa,Paul Hribar,Samuel Tiras,,,,University of Iowa,"Henry B. Tippie College of Business, The University of Iowa",,,,
Financial Reporting,Topic labeling using large language models,Olga Bogachek,,,,,,,,,,,
Financial Reporting,When disclosing effective compliance backfires: evidence from experiments with retail investors and preparers,Christian Friedrich,Sebastian Oelrich,,,,,University of Mannheim,,,,,
Financial Reporting,Accounting measurement error under IFRS and US GAAP,Janik Wecks,,,,,,,,,,,
Financial Reporting,Dare to say no? Externalities of employee employment protection on financial misreporting,Jackie Zeyang Ju,Chan Li,Hong Xie,,,,University of Kentucky,University of Kansas,University of Kentucky,,,
Financial Reporting,Availability of financial reporting and labor market outcomes,Martin Zafiryadis,Jeppe Christoffersen,,,,,Copenhagen Business School,Copenhagen Business School,,,,
Financial Reporting,Product market failure and the quality of corporate disclosure: legitimacy versus litigation concerns,Khadija Almaghrabi,,,,,,King Abdulaziz University,,,,,
Financial Reporting,Cash flow management under distress: evidence from Chapter 11 filings,Mario Daniele,Davide Arrighi,Angela Pettinicchio,,,,Università Cattolica del Sacro Cuore,Università Cattolica del Sacro Cuore,Università Cattolica del Sacro Cuore,,,
Financial Reporting,Affirmations of compliance with IFRS: a study of financial statements and audit reports,Christopher Nobes,Christian Stadler,Stephen Zeff,,,,Royal Holloway University of London,London University / Royal Holloway,Rice University,,,
Financial Reporting,Comparability of level 3 fair value disclosures,Weitzu Chen,Chi-Hsien Lin,Yuan-Tang Tsai,Tzu-Cheng Peng,,,National Taipei University,National Taipei University,National Taipei University,National Taiwan University,,
Financial Reporting,Do mandatory changes in disclosure frequency affect information provision by other market participants? Evidence from the SEC regulation of mutual fund portfolio disclosure,Fangfang Hou,Songyi Han,Tharindra Ranasinghe,,,,Xiamen University,BI Norwegian Business School,American University,,,
Financial Reporting,Strategic narratives: mutual fund managers’ commentaries and fund flows,Chunqiu Zhang,Shufang Lai,Ziyi Zhang,,,,Fudan University,Shanghaitech University,Southern University of Science And Technology,,,
Financial Reporting,Coming up short: limits to arbitrage for shareholder activism in non-US firms,Brianna de la Osa,Mark Maffett,,,,,University of Miami,University of Miami,,,,
Financial Reporting,Reducing cyber risk: the impact of strengthened governance disclosure regulation,Alexander Neumann,Sergeja Slapnicar,Vanitha Ragunathan,,,,University of Queensland,University of Queensland,,,,
Financial Reporting,Clarity after crisis: data breaches and obfuscation in conference calls,Rui Duan,,,,,,,,,,,
Financial Reporting,From comments to policy: AI-assisted analysis of stakeholder responses to the SEC’s climate disclosure proposal,Kostas Pappas,Alice Liang Xu,,,,,University of Liverpool,,,,,
Financial Reporting,Business complexity and non-GAAP earnings disclosure,Mohammad Hendijani Zadeh,,,,,,,,,,,
Financial Reporting,Do supplier non-GAAP earnings disclosures matter to major customers?,Chih-Liang Liu,Shu-Miao Lai,Edoardo Nesi,,,,National Yang Ming Chiao Tung University,National Taiwan Ocean University,,,,
Financial Reporting,"Fooled by the face? Headline GAAP, core earnings, and cost of debt",Wanyun Li,Christofer Adrian,Cameron Truong,Stanley Choi,,,Xiamen University,Monash University,Monash University,,,
Financial Reporting,An empirical examination of the role of analysts’ information in managers’ voluntary disclosures,Somnath Das,Shibao Liu,,,,,University of Illinois Chicago,,,,,
Financial Reporting,The market informativeness of analyst forecasts in family firms,Leonidas Doukakis,Olga Chara Pavlopoulou,Afroditi Papadaki,,,,Athens University of Economics and Business,Athens University of Economics and Business,,,,
Financial Reporting,Silence at the top - when CEOs can’t make it to the earnings call,Niclas Hoehne,Maximilian A. Müller,Caspar Peter,,,,University of Cologne,University of Cologne,,,,
Financial Reporting,"Sentiment of accounting and overall content in a chair’s statement – electricity supply board of Ireland, 1927-2023",Bibek Bhatta,Martin Quinn,Alonso Moreno,Bríd Murphy,,,Queen’s University Belfast,affiliation not provided,University of Jaén,,,
Financial Reporting,Connectivity in corporate reporting: evidence from the field,Maximilian Terboven,Maximilian A. Müller,,,,,University of Cologne,,,,,
Financial Reporting,Accounting for crypto assets: navigating recognition uncertainty and its implications for users,Ronita Ram,Matthew Egan,Kaiying Ji,,,,University of Reading,University of Sydney,,,,
Financial Reporting,"Generative AI, investor composition, and information barriers",Encarna Guillamon Saorin,María Gutierrez Urtiaga,Rongyi Yao,,,,Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,,,,
Financial Reporting,Corporate cryptocurrency holdings and analysts’ forecasting environment,Yi Huang,Adriana Korczak,Nikolaos Tsileponis,,,,University of Bristol,University of Bristol,,,,
Financial Reporting,Top management team and litigation loss contingency disclosures: evidence from Taiwan,Yu-Fang Chu,Hsin-Yi Huang,Sin Chen,,,,National Taiwan University,National Cheng Kung University,,,,
Financial Reporting,Bank monitoring of borrowers and borrowers’ investment efficiency: evidence from the switch to the expected credit loss model,Muhabie Mekonnen Mengistu,Jeffrey Ng,Walid Saffar,Janus Jian Zhang,,,University of Wollongong,The University of Hong Kong,The Hong Kong Polytechnic University,,,
Financial Reporting,"IFRS 9 under stress: loan loss provisioning, prudential regulation, and procyclicality",Zoltán Novotny-Farkas,Romain Oberson,Elisabeth Carina Renner,,,,Vienna University of Economics and Business,IESEG School of Management,,,,
Financial Reporting,Virtual analyst private meetings,An-Ping Lin,Yajing Tian,Xia Chen,,,,Singapore Management University,Singapore Management University,,,,
Financial Reporting,Firms’ use of derivatives in a fragmented regulatory landscape,Jae Bum Kim,,,,,,,,,,,
Financial Reporting,The attention shakeout: financial analysts and the concentration of technology narratives,Yujie Song,An-Ping Lin,,,,,Wenzhou-Kean University,,,,,
Financial Reporting,"Accounting for climate change: to what extent are climate change risks integrated into the financial statements of oil, gas, and coal companies?",Hafez Abdo,Freeman Owusu,Duncan Angwin,Angelos Angelakis,,,University of Nottingham,Loughborough University,University College London,,,
Financial Reporting,Exploring the economic consequences of IAS 38 on management decision-making in R&D investments under real earnings management spectrum,Angelos Angelakis,Jim Haslam,Elisabetta Mafrolla,,,,University of Vienna,Durham University,,,,
Financial Reporting,Crypto confessions: the digital transition of risk disclosure,Elisabetta Mafrolla,Maria Ricci,Hafez Abdo,,,,University of Foggia,University of Foggia,,,,
Financial Reporting,Does government subsidy above or below operating income matter to investors? Evidence from Chinese Accounting Standard no.16,Qiang Wu,Cheng Zeng,Yani Li,,,,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,,,,
Financial Reporting,Reporting information systems in a dynamic regulatory environment: generalized assurance risk and relative quality of ESG reporting,Liang Fu,Seong Yeon Cho,Yin Yu-Thompson,Joseph Callaghan,,,Oakland University,Oakland University,Oakland University,,,
Financial Reporting,The impact of mandatory sustainability reporting on the quality of financial reporting,Alessandro Mura,Viviana Ecca,Francesco Vallascas,,,,University of Cagliari,University of Cagliari,,,,
Financial Reporting,Anticipating IFRS 18: how do income statement disaggregation and management performance measures affect investor judgments?,Sabine Graschitz,Nadine Georgiou,,,,,Johannes Kepler University Linz,,,,,
Financial Reporting,Regulatory intensity and non-GAAP earnings disclosure,Haowen Deng,,,,,,,,,,,
Financial Reporting,GAAP or non-GAAP - German investors’ perception g(a)ap in evaluating annual reports,Celine Daute,Christiane Pott,Fabian Freches,,,,TU Dortmund University,TU Dortmund University,,,,
Financial Reporting,The impact of ASC 842 on classification shifting,C. S. Agnes Cheng,Yuedan Geng,Sha Zhao,,,,University of Oklahoma,University of Science and Technology of China,Oakland University,,,
Financial Reporting,Compliance with financial reporting standards and efficiency gains: evidence from ASC 842,Doyeon Kim,,,,,,The University of Hong Kong,,,,,
Financial Reporting,"Organizational capital, advertising-based capital, and information asymmetry",Jessica Kim-Gina,Muskan Chawla,Henry Friedman,,,,Chapman University,The University of British Columbia,UCLA / The Anderson School,,,
Financial Reporting,Planned embedded change: a theoretical model from the IFRS Foundation case,Masatsugu Sanada,,,,,,Kyoto Tachibana University,,,,,
Financial Reporting,"Fostering, bridging and letting things pass: paths to faithful representation in automated accounting practice in SMEs",Malin Brus,,,,,,The University of Gothenburg,,,,,
Financial Reporting,Becoming accounting standard-setter: the role of professional networks and identities in shaping careers,Jan Friedrich,Melanie Grosseastroth,Tessa Kunkel,,,,ESCP Business School,University of Mainz,ESCP Business School,,,
Financial Reporting,Disclosure regulation and legal form choice,Patricia Breuer,Matteo Merlo,Jochen Pierk,,,,Erasmus University Rotterdam,Erasmus University Rotterdam,Erasmus University Rotterdam,,,
Financial Reporting,Reporting regulation and market perception,Elena Reck,,,,,,Ruhr University Bochum,,,,,
Financial Reporting,Substantive regulation and voluntary public disclosure: early evidence from the EU AI Act,Stephanie van der Veen,,,,,,Erasmus University Rotterdam,,,,,
Financial Reporting,Pay transparency and risk appetite: evidence from mortgage lending decisions,Mengdi Zhang,Yupeng Lin,Lixin (Nancy) Su,Zheng Wang,,,The Hong Kong Polytechnic University,National University of Singapore,The Hong Kong Polytechnic University,City University of Hong Kong,,
Financial Reporting,Do joint audits enhance financial reporting quality and lending discipline in banks?,Sriniwas Mahapatro,,,,,,Rochester Institute of Technology,,,,,
Financial Reporting,Common ownership and non-GAAP reporting,Ruichao Zhu,Charles Hsu,Han Xiao,,,,NEOMA Business School,The Hong Kong University of Science and Technology,,,,
Financial Reporting,Why IFRS 9 could fall in love with regression trees,Sabine Böckem,,,,,,,,,,,
Financial Reporting,Information crosschecking: understanding investor reaction to earnings of unknown accuracy,Shai Levi,Eti Einhorn,Noga Abraham,,,,Tel Aviv University,Tel Aviv University,,,,
Financial Reporting,Financial reporting quality within business groups,Laura Arranz-Aperte,Bartolomé Pascual-Fuster,,,,,University of the Balearic Islands,,,,,
Financial Reporting,Mandatory non-financial reporting and strategic voluntary disclosure: evidence from an employer review platform,Karl Kappen,Jan Roessner,Inga Meringdal,,,,LMU Munich,LMU Munich,,,,
Financial Reporting,Demand for sustainability disclosures: evidence from web-tracking data of CSRD reports,Lea Hagemeier,Maximilian A. Müller,,,,,University of Cologne,,,,,
Financial Reporting,When ESG reporting backfires: evidence on withholding bad news following SASB standards rollout,Amna Chalwati,,,,,,,,,,,
Financial Reporting,Earnings management of oil & gas firms after the Russian invasion of Ukraine,Nadine Georgiou,Jochen Bigus,Nils Hain,,,,University of Innsbruck,Freie Universität Berlin,,,,
Financial Reporting,Collusion and earnings management in private firms: evidence from antitrust prosecutions in an emerging market,Begoña Giner,Hector Perafan,Belen Gill de Albornoz Noguer,,,,University of Valencia,Universidad Externado de Colombia,,,,
Financial Reporting,Financial reporting regulation and corporate non-financial misconduct,Dennis Sundvik,Henrik Hoglund,Mingjian Li,,,,Hanken School of Economics,Hanken School of Economics,,,,
Financial Reporting,When the pieces move: do financial analysts pick up on segment reporting reshuffling?,Andrei Filip,Louis Mangeney,Rucsandra Moldovan,Paul André,,,IESEG School of Management,IESEG School of Management,Concordia University,,,
Financial Reporting,Misstatement types and SEC investigations,Florian Dreyer,,,,,,,,,,,
Financial Reporting,Anticipating change: stock market and multinational firm responses to disaggregation in income tax disclosures,Derek Christensen,Anh Nguyen,Dan Lynch,Max Pflitsch,,,University of Oregon,UW Madison,University of Wisconsin-Madison,,,
Financial Reporting,How does public activism shape voluntary disclosure? Evidence from the thematic contents of earnings calls,Jiamin Zhao,,,,,,,,,,,
Financial Reporting,InnoBERT: LLM-based innovation measure,Mustafa Ahçi,Philip Joos,,,,,Erasmus University Rotterdam,,,,,
Financial Reporting,Stakeholder responses to IFRS 18 and the institutionalisation of non-GAAP measures: evidence from 214 comment letters,Edoardo Nesi,,,,,,,,,,,
Financial Reporting,"Pills, powders, and proof",Christian Friedrich,Gerrit von Zedlitz,Anna Costello,,,,University of Mannheim,University of Mannheim,,,,
Financial Reporting,Investor reaction to information generated over the reporting cycle,Raluca Chiorean,Kathleen Weiss Hanley,Neil Snow,,,,Lehigh University,Lehigh University,,,,
Financial Reporting,Capital market effects of risk factor disclosure modernization,James Blann,James Moon,Yuxiao Wang,,,,Georgia Institute of Technology,Georgia Institute of Technology,,,,
Financial Reporting,On the optimal frequency of mandatory disclosure,Seung Lee,Ivan Marinovic,,,,,University of Southern Denmark,,,,,
Financial Reporting,Disclosure externalities created by information processing capacity allocation: the role of heterogeneous processing costs across information disclosures,Sebastian Fleer,Hui Chen,,,,,University of Basel,,,,,
Financial Reporting,"More information, less learning: how disclosure shapes market feedback",Hui Chen,Jan Schneemeier,Seung Lee,,,,University of Zurich,Michigan State University,,,,
Financial Reporting,Targeted disclosure to retail investors,Wan Chu Cheong,,,,,,,,,,,
Financial Reporting,Making risk-factor disclosures useful again,Ankita Marwaha,Nitin Vishen,,,,,Aalto University,,,,,
Financial Reporting,Cybersecurity risk disclosure and corporate credit risk,Tsung-Kang Chen,Yi Jie Tseng,Yun Hao,,,,National Yang Ming Chiao Tung University,Fu Jen Catholic University,,,,
Financial Reporting,CEO final year and tone management: does managerial ability matter?,Oveis Madadian,Pratik Goel,Wouter Torsin,,,,IESEG School of Management,IESEG School of Management,,,,
Financial Reporting,What matters in predicting earnings changes: financial statement numbers or textual disclosures?,Kaustav Sen,Neerav Nagar,Indranil Bose,,,,"Lubin School of Business, Pace University, New York",Indian Institute of Management Ahmedabad,,,,
Financial Reporting,The informativeness of SOX 404 textual disclosures: using natural language processing on management’s and auditor’s internal control disclosures to detect financial misreporting,Stephan Küster,Tobias Steindl,Sven Hartlieb,,,,Freie Universität Berlin,University of Regensburg,,,,
Financial Reporting,Does climate-related cheap talk matter? Climate disclosure and management earnings forecasts,Gerald Eisenhut,Margarethe Rammerstorfer,Katrin Hummel,Karl Weinmayer,,,Vienna University of Economics and Business,Vienna University of Economics And Busines,Vienna University of Economics and Business,,,
Financial Reporting,Beyond words? Using multimodal large language models to analyze conference calls,Doron Reichmann,Anna Rohlfing-Bastian,,,,,Goethe University Frankfurt,,,,,
Financial Reporting,Dual deregulation and the IPO decision under the JOBS Act,Heylel-Li Biton,Benjamin Segal,,,,,Hebrew University of Jerusalem,,,,,
Financial Reporting,Product market competition and segment-level management forecast disclosure,Yuriko Takahashi,,,,,,Hitotsubashi University,,,,,
Financial Reporting,Workplace automation and human capital disclosure,Yingshuang Ma,Byron Song,Janus Jian Zhang,,,,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,,,
Accounting and Governance,Monitoring the green line: environmental covenants in supply chain contracts,Ting Dai,Ling Cen,Michael Hertzel,Scott Liao,,,Hanken School of Economics,The Chinese University of Hong Kong,,,,
Accounting and Governance,Emissions restatements after the SEC’s request for public input on climate-related disclosures: evidence from carbon disclosure project filings,Daniel Aobdia,Gerrit Köchling,Peter Limbach,Aaron Yoon,,,Pennsylvania State University,Ilmenau University of Technology,University of Bielefeld,,,
Accounting and Governance,Strengthening stakeholder engagement through reputation and assurance mechanisms: insights from Latin American companies,Kiara Chau,Laura Sierra Garcia,Maria Garcia Benau,,,,University of Valencia,Universidad Pablo de Olavide,,,,
Accounting and Governance,Risk governance as an ethical safeguard: corruption and the demand for enhanced risk oversight,Evelyn Braumann,Mark Beasley,Bruce Branson,Don Pagach,,,Vrije Universiteit Amsterdam,NC State University,NC State University,,,
Accounting and Governance,Control rights or wrongs? Active versus index governance,Begum Ipek Yavuz,David K. Musto,Anne M. Tucker,,,,McGill University,University of Pennsylvania,,,,
Accounting and Governance,"State capitalism, conflict of interest, and minority shareholder voice: evidence from China",Chan Ke,,,,,,,,,,,
Accounting and Governance,Men are inclusive,Cristina Grande-Herrera,Susana Gago Rodriguez,María Josefa Álvarez-Gil,Bárbara de la Vega-Justribó,,,Universidad Pontificia Comillas,Universidad Pontificia Comillas,Universidad Carlos III de Madrid,,,
Accounting and Governance,Board faultlines and corporate performance: the moderating role of national culture,Lin Luo,Steven Chen,Jannine Poletti-Hughes,,,,University of Liverpool,University of Liverpool,University of Liverpool,,,
Accounting and Governance,Family CEO successions: the role of the succession design,Caroline Thøisen Larsen,,,,,,Copenhagen Business School,,,,,
