Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6,Uni_7,Uni_8,Uni_9,Uni_10,Uni_11,Uni_12,Uni_13,Uni_14,Uni_15,Uni_16
Public Sector Accounting & Not-For-Profit Accounting,Assurance of sustainability reporting: A systematic literature review of 24 years of research,Sherine Jharni,Giulia Leoni,,,,,,,,,,,,,,,Università degli Studi di Genova,,,,,,,,,,,,,,,
Accounting Education,Quality counts: exploring the link between codes of ethics and employee satisfaction,Zezeng Li,Christopher Cowton,,,,,,,,,,,,,,,Queen Mary University of London,,,,,,,,,,,,,,,
Financial Reporting,"EPA Regional Monitoring, Local Regulatory Risks, and Firm Response",Grace Fan,XiWu,Trung Nguyen,,,,,,,,,,,,,,Singapore Management University,University of California-Berkeley,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Politics, CSR Investment, and Real Effects",June Huang,Kirti Sinha,MV Shivaani,,,,,,,,,,,,,,University of Texas at Dallas,University of Texas at Dallas,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Incorporating Carbon Emissions into Decision-Making—The Case of Transactional Connectivity,Felix Müller,Juergen Ernstberger,Mario Keiling,Mike Szabo,Bastian Distler,,,,,,,,,,,,Technical University of Munich,Technical University of Munich,Technical University of Munich,SAP,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,CO2 emissions and the quality of earnings,Alessandro Mura,Stefano Corso,,,,,,,,,,,,,,,University of Cagliari,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Green revenue generation and sales contribution: are consumers willing to bear the cost of sustainability?,Atm Karim,Mahmoud Elmarzouky,,,,,,,,,,,,,,,Queen’s University Belfast,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Effect of Customer Demand for Carbon Disclosures along Supply Chains,Jin Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Consumer Voices, Corporate Consequences: The Oversight Power of Customer Reviews in E&S Crises",Angelo Ditillo,Michele Fumagalli,Roberto Vincenzi,,,,,,,,,,,,,,Bocconi University,Bocconi University,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Motivating sustainable behaviour in the workplace through control,Leanne Johnstone,Peter Beusch,,,,,,,,,,,,,,,Örebro University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Accounting for a contemporary workplace: The employer and employee discourses and the Self,Galina Goncharenko,Sami Adwan,Siwen Liu,,,,,,,,,,,,,,Aston University,University of Sussex,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Exploring Drivers and Barriers to Sustainability Practices in SMEs Across European Contexts,Souad Moufty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Relevance of Climate Risk Disclosure: Evidence from Europe,Bjarne Brié,Kristof Stouthuysen,Tim Verdonck,,,,,,,,,,,,,,Tilburg University,Vlerick Business School,,,,,,,,,,,,,,
Financial Reporting,How do institutional pressures and business incentives affect the level of implementation of corporate compliance systems?,Sara Rodríguez-Gómez,María Lourdes Arco-Castro,Isabel María García Sánchez,MaríaVictoria López-Pérez,,,,,,,,,,,,,University of Granada,University of Granada,Universidad de Salamanca,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,How Governmentality Shapes Risk Management Practices: A case study from a listed Energy-Sector Company,Edoardo Borlatto,Edoardo Crocco,Francesca Culasso,Elisa Truant,,,,,,,,,,,,,Università degli Studi di Torino,University of Turin,University of Turin,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Corporate Disclosures and Real Responses to Geopolitical Risk: Evidence from the War in Ukraine,David Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Impact of European Firms’ Emissions Reduction Effectiveness on Financial Constraints: Evidence from the Quintuple Helix Model Perspective,Emma García-Meca,Jennifer Martinez Ferrero,Carmelo Reverte,,,,,,,,,,,,,,Technical University of Cartagena,Universidad de Salamanca,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Characteristics of Firms that declaration of supporting TCFD,Chao Hsin Huang,Te-Kuan Lee,Tse-Cheng Lin,,,,,,,,,,,,,,ChungYuan Christian University,ChungYuan Christian University,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Carbon Management Accounting based on Material Flow Cost Accounting,Benedikt Rohde,Stefan Dierkes,,,,,,,,,,,,,,,University of Göttingen,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Do markets punish corporate bad behaviour? Evidence from ESG Controversies and Firm Performance in Africa,Olatundun Adelegan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Science-Based Targets: Symbol or Substance? Financial Implications for Adopting Firms,Jan-Hendrik Meier,Tetiana Paientko,,,,,,,,,,,,,,,Kiel University of Applied Science,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Pricing firms’ biodiversity risk exposure: Empirical evidence from audit fees,Tobias Steindl,Stephan Küster,Sven Hartlieb,,,,,,,,,,,,,,University of Regensburg,Free University of Berlin,,,,,,,,,,,,,,
Auditing,Audit Committees Characteristics and ESG Disclosure Transparency,Dina El Mahdy,Kimberly Walker,,,,,,,,,,,,,,,Morgan State University,,,,,,,,,,,,,,,
Auditing,Does ESG Performance Affect Audit Fees?,Martin (Myung Sub) Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Navigating Complexity: A New Conceptual Model for Environmental Accountability in Dynamic Conflict Arenas,Riccardo Torelli,Marcello Cosa,,,,,,,,,,,,,,,Università Cattolica del Sacro Cuore,,,,,,,,,,,,,,,
Financial Reporting,Do ESG ratings construct paradoxical realities?,Stefan Schaper,Irene Pollach,,,,,,,,,,,,,,,Aarhus University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Professional service firms and sustainability professionals: on the construction of ’Best Practices’ for Sustainability,Xiaoyu (Aurora) Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,The Impact of ESG Performance on the Executive-to-Employee Pay Gap: The Moderating Role of Labor Union Density and Labor Dispute Pressure,Rui Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Fifty Years of Corporate Sustainability in Accounting Research: A Systematic Literature Review Using Machine Learning Techniques,Arianna Pisciella,Bianca Minuth,,,,,,,,,,,,,,,Università Cattolica del Sacro Cuore,,,,,,,,,,,,,,,
Financial Reporting,Do higher ESG self-disclosures by the target company help to enhance deal outcomes in business combinations?,Kang Cheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Investors’ Preferences in Qualitative Characteristics of Sustainability Disclosures: A Discrete Choice Experiment and an Analysis of Willingness-to-Pay,Maria Gabriela Misiuda,Maik Lachmann,,,,,,,,,,,,,,,Technical University of Berlin,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The impact of environmental awareness on environmental reporting quality and environmental performance,Katharina-Maria Wagner,Christoph Pelger,,,,,,,,,,,,,,,University of Passau,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Climate (De)Commitment: Evidence from the Science Based Targets Initiative,Nouha Wasli,Andrea Melis,Thomas Kaspereit,,,,,,,,,,,,,,University of Cagliari,University of Cagliari,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Accountability in Impact Investments: How beneficiaries are heard during the investment process?,Johanna Lähteenmäki,Jukka Pellinen,Toni Mättö,,,,,,,,,,,,,,University of Jyväskylä,University of Jyväskylä,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Corporate Life Cycle and its Impact on Textual Characteristics in CSR Disclosure—Evidence from Europe,Aaron Kasischke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Uncovering greenwashing through textual analysis of sustainability disclosures,Agne Sneideriene,Renata Legenzova,,,,,,,,,,,,,,,Vytautas Magnus University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Nonfinancial target setting: a study on the determinants of carbon emission reduction targets,Nicola DallaVia,Paolo Perego,,,,,,,,,,,,,,,Free University of Bozen-Bolzano,,,,,,,,,,,,,,,
Financial Analysis,Does the Market React to Greenwashing? The Impact of Alignment Between ESG Disclosure and ESG Performance on Capital Markets,Kevin Gauch,Kevin Mcmeeking,Carol Pomare,,,,,,,,,,,,,,Technical University of Darmstadt,Brunel University,,,,,,,,,,,,,,
Financial Reporting,Strategic Climate Metrics: Prioritising Key Factors for Enhanced Decision-Making,Jose Luis BlascoVazquez,Elena Carrión,,,,,,,,,,,,,,,Universidad Autónoma de Madrid,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The materiality assessment in sustainability reporting: A structured literature review,Cristina Florio,Riccardo Stacchezzini,Matilde D’onofrio,Alessandro Lai,Francesca Rossignoli,,,,,,,,,,,,University ofVerona,University ofVerona,University ofVerona,University ofVerona,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,ESG-Based Compensation and Corporate Social Risk: The Mediating Effect of Corporate Social Performance,Simona Fiandrino,Silvia Panfilo,Cristina Florio,,,,,,,,,,,,,,University of Turin,"Università Ca’ FoscariVenezia,Venice School of Management",,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Does High-Speed Home Internet Improve Access to Credit? Evidence from a Google Fiber Rollout,Francisco Dimas Pena Romera,RogerWhite,,,,,,,,,,,,,,,Arizona State University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Does Zombification Influence Corporate Carbon Performance?,Sadok El Ghoul,Spyridon Gkikopoulos,Omrane Guedhami,Konstantinos Stathopoulos,,,,,,,,,,,,,University of Alberta,University of Manchester,University of South Carolina,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Disclosure Regulation and ESG Transparency,Charlotte-Louisa Donau,Maximilian A. Müller,,,,,,,,,,,,,,,University of Cologne,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Donations in the Dark,Ionela Andreicovici,Nava Cohen,Alessandro Ghio,Luc Paugam,,,,,,,,,,,,,Frankfurt School of Finance & Management,New Jersey City University,ESCP Business School,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Lost in translation: accounting and the construction of net-zero emissions,Elena Carrión,Carlos Larrinaga,,,,,,,,,,,,,,,Universidad de Burgos,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Role of National Carbon Budgets in Accounting for Climate Change,Rebecca Maughan,Aideen O’dochartaigh,Anna Pringle,,,,,,,,,,,,,,University College Dublin,University College Dublin,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Measuring the Unmeasurable: Challenges and Pathways in Biodiversity Accounting,Eva-Maria Öhlinger,Othmar Lehner,,,,,,,,,,,,,,,Johannes Kepler University,,,,,,,,,,,,,,,
Financial Reporting,Is ESG performance influenced by CEO features in the energy sector? Female directors on board as moderator,Maria Consuelo Pucheta-Martinez,Inmaculada Bel-Oms,Isabel Gallego-Álvarez,,,,,,,,,,,,,,Universitat Jaume I,University of Valencia,,,,,,,,,,,,,,
Financial Reporting,Stakeholder impact on Corporate Digital Responsibility reporting,Ewelina Zarzycka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,The breadth of sustainability assurance statement and decoupling practices: Do controversies matter?,Najib Bwanika,Florence Depoers,Lionel Touchais,,,,,,,,,,,,,,Université de Rennes,Paris Nanterre University,,,,,,,,,,,,,,
Financial Reporting,Statutory Auditors as Providers of Mandatory Sustainability Reporting Assurance under the Corporate Sustainability Reporting Directive: Insights from Instituti,Joanna Krasodomska,Ewelina Zarzycka,,,,,,,,,,,,,,,Krakow University of Economics,,,,,,,,,,,,,,,
Financial Reporting,The Role of Competitor Reporting in ESG Greenwashing,YangYoude,Bakr Al-Gamrh,Fei Jinhua,Xu Guanghua,,,,,,,,,,,,,Nanjing University of Science and Technology,Rennes School of Business,Southeast University,,,,,,,,,,,,,
Financial Reporting,"Exploring Environmental, Social, and Governance Disclosure on Social Media: The Role of Cultural Dimensions",Giuseppe Nicolò,Lukasz Bryl,Diana Ferullo,,,,,,,,,,,,,,University of Salerno,Poznań University of Economics and Business,,,,,,,,,,,,,,
Financial Reporting,Drivers of Circular Economy Disclosure in the Banking Industry: European Evidence,Nicola Raimo,Vitiana L’abate,Ilenia Fraccalvieri,FilippoVitolla,Candida Bussoli,,,,,,,,,,,,LUM University,LUM University,LUM University,LUM University,,,,,,,,,,,,
Financial Reporting,SDG Reporting and Sustainability Performance: Insights from Italian Companies,Valentina Beretta,Maria Chiara Demartini,Sara Trucco,,,,,,,,,,,,,,University of Pavia,Università degli Studi di Pavia,,,,,,,,,,,,,,
Financial Reporting,Do PRI Signatories Exhibit Better Readability in CSR Reports?,Maria Del Mar Sanchez Hernandez,Jennifer Martinez Ferrero,Emma García-Meca,M. Camino Ramon-Llorens,,,,,,,,,,,,,Technical University of Cartagena,Universidad de Salamanca,Technical University of Cartagena,,,,,,,,,,,,,
Financial Reporting,Determinants of corporate environmental taxes: Country-level empirical evidence,Lukas Schmidt,MariusWeiß,Andreas Seebeck,,,,,,,,,,,,,,Constructor University Bremen,University of Erlangen-Nürnberg,,,,,,,,,,,,,,
Financial Reporting,Executive Compensation and Corporate Irresponsibility: Evidence from the United States,Philipp Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Do Board Sustainability Committees Contribute to Firm-Level CSR Outcomes? The Role of Sustainability Committee Characteristics and Governance Mechanisms,Jyotirmoy Podder,Abdus Sobhan,Amitav Saha,Sudipta Bose,,,,,,,,,,,,,Axis Accounting,Manchester Metropolitan University,University of Notre Dame,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Eponymy, Reputation, and ESG Reporting in Private Family Firms",Annalisa Prencipe,Gianfranco Siciliano,Alessandro Minichilli,Valentino D’angelo,Olivia Askheim,,,,,,,,,,,,Bocconi University,China Europe International Business School,Bocconi University,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Do Managers Invest in Stakeholder Relationships to Insure against Personal Fallout? Evidence from Clawback Provisions,Joonil Lee,Peter Oh,Patrick Ryu,Jingjing Zhang,,,,,,,,,,,,,Kyunghee University,McGill University,University of Manchester,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Influential Chief Sustainability Officer and Corporate Social Responsibility Performance,Eunice Khoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Heterogeneous sustainability impacts through actions directed at primary and secondary stakeholders,Paul Griffin,Florian Habermann,,,,,,,,,,,,,,,University of California-Davis,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Do Reputation and Performance Visibility Shape Corporate Environmental, Social, and Governance Outcomes?",Marvin Nipper,Kevin Munch,Ivy Munoko,,,,,,,,,,,,,,Friedrich Alexander University,University of Florida,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Peer Effect and Benchmark Effect of Information Disclosure: Evidence from Corporate Social Responsibility Information Disclosure,Yuan-Tang Tsai,Teng-Shih Wang,Yi-Hsing Liao,,,,,,,,,,,,,,National Taipei University,Providence University,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Real effects of the introduction of the EU Whistleblowing Directive on Private sector: Evidence from Europe,Jovana Radenkovic,Ruiwen Liu,,,,,,,,,,,,,,,Free University of Berlin,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Sustainability-Linked Bonds Crisis: Will the label survive?,Verena Braun,Patricia Ruffing-Straube,,,,,,,,,,,,,,,University of Zurich,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Double Materiality as a Driver of Real Effects: Evidence from the European Union’s Non-Financial Disclosure Directive,Peter Fiechter,Florian Habermann,Gaia Melloni,Arianna Pisciella,,,,,,,,,,,,,University of Neuchatel,University of Lausanne,HEC Lausanne / University of Lausanne,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Reporting for change: Does the adoption of double materiality influence ESG risk management?,Silvia Panfilo,Francesco Scarpa,Nicolas Canestraro,,,,,,,,,,,,,,"Università Ca’ Foscari Venezia, Venice School of Management","Università Ca’ Foscari Venezia, Venice School of Management",,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Challenges of double materiality: content analysis of comment letters on the European Sustainability Reporting Standard Exposure Draft Consultation,Mahsa Ghorbanijazin,Jennifer Boutant Lapeyre,Isabelle Martinez,,,,,,,,,,,,,,Université Toulouse Capitole,Université Toulouse Capitole,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Are CEOs enhancing corporate social responsibility reporting in the oil and gas sector? A multi-method analysis on thematic manipulation,Miguel Pombinho,Ana Fialho Silva,Andreia Dionísio,,,,,,,,,,,,,,"University of Évora, CEFAGE","University of Évora, CEFAGE",,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Shaping International Sustainability Standards: An Analysis of Lobbying Effects on the IFRS S2,Eric Heyden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Do Board Sustainable Development Committees Matter to Carbon Emission Reporting Quality?,Shu-Miao Lai,Chih-Liang Liu,,,,,,,,,,,,,,,National Taiwan Ocean University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Who Blows and Why? A Mediation Model from Accountants’ Locus of Control to Whistleblowing,Meng Bai,He Zhang,Junrui Zhang,George Lan,Yang Su,,,,,,,,,,,,Xi’an Jiaotong University,Xi’an Jiaotong University,Xi’an Jiaotong University,"University of Windsor, Odette School of Business",,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Moderating Role of Earnings Pressure on the Relationship of CSR Performance and Earnings Management,Ann Kristin Meyer,Andreas Dutzi,,,,,,,,,,,,,,,University of Siegen,,,,,,,,,,,,,,,
Public Sector Accounting & Not-For-Profit Accounting,Alignment with and eligibility to the EU Taxonomy: a new index for its measurement and the impact on the cost of debt,Fabio Rizzato,Simona Fiandrino,Alberto Tonelli,Giorgia La Barbera,Alain Devalle,,,,,,,,,,,,University of Turin,University of Turin,University of Turin,University of Turin,,,,,,,,,,,,
Accounting and Governance,Shadow Accounts in Action: Challenging and Reinforcing Hegemony in China’s Governance Regime,Dan Shen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Exploring Knowledge Management Systems in Exponential Organizations: insights from Non-Financial Reporting practices,Paolo Biancone,Federico Lanzalonga,Ginevra Degregori,,,,,,,,,,,,,,University of Turin,University of Turin,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Exploring the landscape of carbon accounting: Insights from a literature review and pathways for future research,Juliette Senn,Sarah Maire,Sophie Spring,,,,,,,,,,,,,,Montpellier Business School,IÉSEG School of Management,,,,,,,,,,,,,,
Accounting and Governance,Examining the paradox between CSR practices in audit firms and their impact on audit quality and reputation,Di Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"""If Not Certain Be Vague"": How Uncertainty about Investors’ Preferences Shapes Voluntary Climate-Change Disclosure",Giulia Sargiacomo,Ole-Kristian Hope,,,,,,,,,,,,,,,"University of Toronto,Rotman School of Management",,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Climate Disclosures and Decarbonization along the Supply Chain,Igor Kadach,Pietro Bonetti,Gaizka Ormazabal,Ellen En,,,,,,,,,,,,,IESE Business School,IESE Business School,IESE Business School,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Soft law, hard results: The impact of government climate action plans on investor attention",Wei Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Equity Market Reactions to the Adoption of the Corporate Sustainability Reporting Directive,Nicolas Frenzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Net Zero Emission Target Adoption as Market Signal: How Investors Screen Target Adoption,Shah Md Taha Islam,Michaela Rankin,Mehdi Khedmati,,,,,,,,,,,,,,Monash University,Monash University,,,,,,,,,,,,,,
Management Accounting,Within-Firm Information Inequality and Employee Wage Disparity,Yuqing Zhou,Yifan Jia,,,,,,,,,,,,,,,Chinese University of Hong Kong,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,When Disaster Strikes: How Climate Events Influence Employment Preferences,Yiyuan Wang,Yuqing Zhou,Yue Zheng,Allen Huang,,,,,,,,,,,,,Chinese University of Hong Kong,Chinese University of Hong Kong,Hong Kong University of Science and Technology,,,,,,,,,,,,,
Accounting and Governance,"Good for Shareholders, Bad for Stakeholders? An Unintended Consequence of Say-on-Pay Laws on Employee-Related Policies",Yiye Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Paradox of Creative Culture: Financial Gains at the Cost of ESG Performance,Xue Emma Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Role of Private Anti-Corruption Reporting in Corporate Accountability,Natalia Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,From Comments to Policy: Insights from GPT Analysis of Public Sentiment on SEC’s Climate Disclosure Rules,Kostas Pappas,Alice Liang Xu,,,,,,,,,,,,,,,University of Liverpool,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Shareholder Gains or Integration Strains? The Social Trade-offs in Acquisitions,Alexander Sigg,Thomas Berndt,,,,,,,,,,,,,,,University of St. Gallen,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The effect of digital transformation on corporate greenwashing: from the perspective of management myopia,Zhen Huang,Jing Zhang,,,,,,,,,,,,,,,Northwestern Polytechnical University,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Carbon-washing and family ownership: Global insights into sustainability hypocrisy,Ella (Guangxin) Xu,Joey Yang,Yuan Shan,,,,,,,,,,,,,,Murdoch University,University of Western Australia,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Social information matters—An empirical analysis of disaggregated GRI disclosures,Andreas Weyer,Thomas Berndt,,,,,,,,,,,,,,,University of St. Gallen,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Calculating emissions: Challenges and different perceptions in carbon accounting,Chiara Crovini,Frederik Zachariassen,Sirle Bürkland,,,,,,,,,,,,,,Aalborg University,University of Southern Denmark,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Disclosure quality of Sustainable Development Goals: A value relevance approach in the European context,Gianluca Gabrielli,Pier Luigi Marchini,Dalila Baldini,,,,,,,,,,,,,,University of Parma,University of Parma,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The Level of CSR Reporting of Private Firms,Paula Stanka,Matthias Nienaber,,,,,,,,,,,,,,,Ruhr University Bochum,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Integration of Sustainability Concerns into Management Systems and Climate Change-Induced Financial Risk Disclosures,Siqi Liu,Cristiana Bernardi,Andrew Stark,,,,,,,,,,,,,,Open University,Open University,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Transitioning to Integrated Reporting: A Case Study of BMW from the Institutional Logics Perspective,Nils Ulrich Kneußel,Thomas Fischer,Jonas Albers,Dominik Zink,,,,,,,,,,,,,Friedrich Alexander University,Friedrich Alexander University,Friedrich Alexander University,,,,,,,,,,,,,
Financial Analysis,Narratives contextualizing numeric disclosures: Insights from earnings calls,Imelda Taraj,Ranik Wahlstrøm,,,,,,,,,,,,,,,University of Gothenburg,,,,,,,,,,,,,,,
Financial Analysis,Information Asymmetry and Disclosure: Evidence from Uncertainties,Kangkang Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Analysis,Earnings Conference Calls and Investor Disagreement: The Effect of Heterogeneity in Participating Analysts’ Information Acquisition Focus,Fani Kalogirou,Mari Paananen,Imelda Taraj,,,,,,,,,,,,,,Universidade Católica Portuguesa,University of Gothenburg,,,,,,,,,,,,,,
Financial Analysis,The Rise of Net Debt Covenants,Oliver Binz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Analysis,Strategic Alignment of Accounting Performance Measures: Evidence from Earnouts,Cecilia Wei Hu,Sunyoung Kim,,,,,,,,,,,,,,,Deakin University,,,,,,,,,,,,,,,
Financial Analysis,Perception Shapes Reality: Firms’ Proactive Pay Adjustments,Zhi Li,Peng Qiyuan,Lingling Wang,,,,,,,,,,,,,,Chapman University,University of Dayton,,,,,,,,,,,,,,
Financial Analysis,When Roots Bond: The Effect of Surname Sharing on Analyst Team Performance,Chunyu Zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Analysis,Health constraints and analysts’ strategic substitution in the research production,Yang Wang,Pawel Bilinski,Hui Xu,,,,,,,,,,,,,,Lancaster University,affiliation not provided,,,,,,,,,,,,,,
Financial Analysis,Fertility Policy and Female Analysts: Consequences and Remedies,Weixing Cai,Yuqi Pu,Cheng Zeng,Jing Zhao,,,,,,,,,,,,,Guangdong University of Finance and Economics,Guangdong University of Finance and Economics,Hong Kong Polytechnic University,,,,,,,,,,,,,
Financial Analysis,Competing with earnout provisions: Do financial advisors reduce the need for earnouts?,Luca Viarengo,Leonidas Barbopoulos,Carlo D’augusta,,,,,,,,,,,,,,Università Cattolica del Sacro Cuore,University of Edinburgh,,,,,,,,,,,,,,
Financial Analysis,Backlog orders and weather suspensions: New evidences from procurement contracts,Riccardo Camboni,Andrea Bafundi,Camilla Ciappei,Claudia Imperatore,,,,,,,,,,,,,University of Padova,Università di Padova,University of Padova,,,,,,,,,,,,,
Financial Reporting,Does IFRS Adoption Affect Perceived Financial Reporting Quality? Evidence from International Surveys,Kirstin Becker,Bjørn Jørgensen,,,,,,,,,,,,,,,Copenhagen Business School,,,,,,,,,,,,,,,
Financial Analysis,SEC Comment Letters and the Statement of Cash Flows: A Double-Edged Sword in Regulatory Oversight,Davide Arrighi,Andreas Charitou,,,,,,,,,,,,,,,Università Cattolica del Sacro Cuore,,,,,,,,,,,,,,,
Financial Analysis,Labor misconduct and M&A Performance,Khadija Almaghrabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Analysis,The risk relevance of restructuring,Vivek Raval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Analysis,Impact of Stringent Regulation on the Ratings Market: Evidence from the Death of a Rating Agency,Sriniwas Mahapatro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
